text,emotion,emotion_id
как погода ?,Нейтральная,6
как дело ?,Нейтральная,6
как дело ?,Нейтральная,6
как дело ?,Нейтральная,6
как идти дело ?,Нейтральная,6
как оно ?,Нейтральная,6
как оно ?,Нейтральная,6
что заниматься ?,Нейтральная,6
что заниматься весь этот время ?,Нейтральная,6
что заниматься весь этот время ?,Нейтральная,6
что такой особенный в этот вопрос и ответ ?,Нейтральная,6
что особенный ?,Нейтральная,6
что такой особенный ?,Нейтральная,6
oh it ’ s been really great no complaints here and how ’ s it going for you ?,Нейтральная,6
what,Нейтральная,6
which,Нейтральная,6
where,Нейтральная,6
when,Нейтральная,6
who,Нейтральная,6
why,Нейтральная,6
how long,Нейтральная,6
how,Нейтральная,6
how much,Нейтральная,6
how many,Нейтральная,6
whose,Нейтральная,6
whom,Нейтральная,6
что   ты хотеть на свой день рождение ?,Нейтральная,6
какой   аудитория твой ?,Нейтральная,6
куда   ты планировать путешествовать ?,Нейтральная,6
когда   быть твой экзамен ?,Нейтральная,6
кто   собираться навещать люся ?,Нейтральная,6
почему   ты ходить в парк вчера ?,Нейтральная,6
как долго   ты оставаться в лондон ?,Нейтральная,6
как   ты удаваться получать этот диплом ?,Нейтральная,6
сколько   человек   в твой офис ?,Нейтральная,6
сколько   деньги   ты нужно ?,Нейтральная,6
чей   это машина ?,Нейтральная,6
кто   ты звонить прошлый ночь ?,Нейтральная,6
кто   приводить   твой сестра в школа ?,Нейтральная,6
что   заставлять   ты улыбаться ?,Нейтральная,6
whom   did you call last night ?,Нейтральная,6
who   brought   your sister to school ?,Нейтральная,6
what   makes   you smile ?,Нейтральная,6
how much   money   do you need ?,Нейтральная,6
whom   did you call last night ?,Нейтральная,6
why   did you go to the park yesterday ?,Нейтральная,6
who   is going to visit lucy ?,Нейтральная,6
when   was your exam ?,Нейтральная,6
where   did you plan to travel ?,Нейтральная,6
which   classroom is yours ?,Нейтральная,6
what   do you want for your birthday ?,Нейтральная,6
откуда вы узнавать о вакансия ?,Нейтральная,6
что вы знать о наш компания ?,Нейтральная,6
почему мы должный нанимать именно вы ?,Нейтральная,6
какой качество помогать вы в работа ?,Нейтральная,6
что вы считать свой слабость ?,Нейтральная,6
рассказывать о трудность или конфликт с который вы сталкиваться на работа и как вы решать проблема ?,Нейтральная,6
большой спасибо большой любовь,Нейтральная,6
представлять насколько это помогать,Нейтральная,6
благодарный сделать,Нейтральная,6
сердечный спасибо сделать,Нейтральная,6
сделать день,Нейтральная,6
очень признательный ваш доброта,Нейтральная,6
это здорово твой сторона,Нейтральная,6
забывать сделать,Нейтральная,6
мочь вознаграждать следовать поблагодарить,Нейтральная,6
жизнь проживать благодарность спокойствие тихий радость,Нейтральная,6
причина кроме благодарность радость,Нейтральная,6
благодарность – счастие помножать чудо,Нейтральная,6
росток бамбук помнить человек который посадить,Нейтральная,6
жить полноценный жизнь благодарность размышлять,Нейтральная,6
благодарность – это самый изысканный форма вежливость,Нейтральная,6
благодарный ум – это великий ум который конечный итог привлекать великий дело,Нейтральная,6
должный благодарный человек который пробуждать внутренний дух,Нейтральная,6
радость делать благодарный это благодарность делать радостный,Нейтральная,6
пасмурно дождь температура давлениеветер югозападный,Нейтральная,6
пасмурно дождь температура давлениеветер южный,Нейтральная,6
пасмурно небольшой дождь температура давлениеветер южный,Нейтральная,6
ясно осадки температура давлениеветер южный,Нейтральная,6
ясно осадки температура давлениеветер южный,Нейтральная,6
ясно осадки температура давлениеветер западный,Нейтральная,6
ясно осадки температура давлениеветер северозападный,Нейтральная,6
малооблачный осадки температура давлениеветер северозападный,Нейтральная,6
пасмурно осадки температура давлениеветер северозападный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно небольшой дождь температура давлениеветер северный,Нейтральная,6
пасмурно небольшой дождь температура давлениеветер северный,Нейтральная,6
облачно осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно дождь температура давлениеветер северный,Нейтральная,6
пасмурно небольшой дождь температура давлениеветер северный,Нейтральная,6
пасмурно небольшой дождь температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северный,Нейтральная,6
малооблачный осадки температура давлениеветер северный,Нейтральная,6
малооблачный осадки температура давлениеветер северный,Нейтральная,6
пасмурно осадки температура давлениеветер северозападный,Нейтральная,6
малооблачный осадки температура давлениеветер западный,Нейтральная,6
малооблачный осадки температура давлениеветер южный,Нейтральная,6
облачно осадки температура давлениеветер юговосточный,Нейтральная,6
ясно осадки температура давлениеветер юговосточный,Нейтральная,6
облачно осадки температура давлениеветер южный,Нейтральная,6
ясно осадки температура давлениеветер юговосточный,Нейтральная,6
пасмурно осадки температура давлениеветер юговосточный,Нейтральная,6
пасмурно осадки температура давлениеветер южный,Нейтральная,6
пасмурно небольшой дождь температура давлениеветер юговосточный,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
✋,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
хай,Нейтральная,6
хай,Нейтральная,6
хай,Нейтральная,6
хай,Нейтральная,6
хай,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
приветствие,Нейтральная,6
🙋,Нейтральная,6
привет,Нейтральная,6
коллега добрый день,Нейтральная,6
добрый вечер,Нейтральная,6
добро пожаловать,Нейтральная,6
слава ухань,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
прифок,Нейтральная,6
прифок,Нейтральная,6
прифок,Нейтральная,6
прифок,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
✋,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
✋,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
приет,Нейтральная,6
✋,Нейтральная,6
✋,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
привет,Нейтральная,6
ку,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
✋,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
✋,Нейтральная,6
прифок,Нейтральная,6
хай,Нейтральная,6
приет,Нейтральная,6
приветствие,Нейтральная,6
🙋,Нейтральная,6
привет,Нейтральная,6
коллега добрый день,Нейтральная,6
добрый вечер,Нейтральная,6
добро пожаловать,Нейтральная,6
слава ухань,Нейтральная,6
🙋 ‍ ♀ ️,Нейтральная,6
🙋,Нейтральная,6
👋 sticker,Нейтральная,6
привет весь,Нейтральная,6
дратуть,Нейтральная,6
ку,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6
привет,Нейтральная,6