text,agenda,questionclass
дело,Дело,2
погода,Погода,1
дело,Дело,1
как дело ?,Вопрос,2
дело,Дело,1
дело,Дело,1
фуфпыфпыф,Нет классификации,0
фырпфыпф,Нет классификации,0
добираться сюда,Нет классификации,0
добираться сюда,Нет классификации,0
дообучаться,Нет классификации,0
даров,Нет классификации,0
привея,Нет классификации,0
дело,Дело,1
дело,Дело,1
дело,Дело,1
запорашивать нахальный пух,Нет классификации,0
запорашивать нахальный пух,Нет классификации,0
запорашивать нахальный пух,Нет классификации,0
запорашивать нахальный пух,Нет классификации,0
запорашивать нахальный пух,Нет классификации,0
запорашивать нахальный пух,Нет классификации,0
запорашивать нахальный пух,Нет классификации,0
,Нет классификации,0
погода,Погода,1
дело,Дело,1
нож,Нет классификации,0
нож,Нет классификации,0
погода,Погода,1
погода,Погода,1
погода,Погода,1
погода,Погода,1
погода,Погода,1